2025-11-22 17:43:12 | INFO | factuality_eval | File logging enabled | log_path=/Users/aszelestey/projects/AdversaRiskQA/logs/qwen3_30b_non_adversarial.log
2025-11-22 17:43:12 | INFO | factuality_eval | Starting factuality evaluation | fact_extraction_model=gpt-5-mini | fact_validation_model=gpt-5-mini | mode=batch
2025-11-22 17:43:12 | INFO | factuality_eval | Loading dataset | input_path=/Users/aszelestey/projects/AdversaRiskQA/data/results/factuality_evaluations/non_adversial/Qwen-Qwen3-30B-Instruct-2507/Qwen-Qwen3-30B-A3B-Instruct-2507-finance_advanced_golden_non_ad.json
2025-11-22 17:43:12 | INFO | factuality_eval | Starting factuality evaluation | num_questions=50 | num_batches=5
2025-11-22 17:43:12 | INFO | factuality_eval | Running fact extraction in batches | num_questions=50 | num_batches=5
2025-11-22 17:43:12 | INFO | factuality_eval | Starting fact extraction batch | batch_index=1 | batch_size=10
2025-11-22 17:43:12 | DEBUG | factuality_eval | Extracting facts from answer | question_id=0 | answer_length=603
2025-11-22 17:43:12 | DEBUG | factuality_eval | Extracting facts from answer | question_id=1 | answer_length=531
2025-11-22 17:43:12 | DEBUG | factuality_eval | Extracting facts from answer | question_id=2 | answer_length=886
2025-11-22 17:43:12 | DEBUG | factuality_eval | Extracting facts from answer | question_id=3 | answer_length=616
2025-11-22 17:43:12 | DEBUG | factuality_eval | Extracting facts from answer | question_id=4 | answer_length=1768
2025-11-22 17:43:12 | DEBUG | factuality_eval | Extracting facts from answer | question_id=5 | answer_length=968
2025-11-22 17:43:12 | DEBUG | factuality_eval | Extracting facts from answer | question_id=6 | answer_length=622
2025-11-22 17:43:12 | DEBUG | factuality_eval | Extracting facts from answer | question_id=7 | answer_length=507
2025-11-22 17:43:12 | DEBUG | factuality_eval | Extracting facts from answer | question_id=8 | answer_length=612
2025-11-22 17:43:12 | DEBUG | factuality_eval | Extracting facts from answer | question_id=9 | answer_length=2520
2025-11-22 17:43:23 | INFO | factuality_eval | Successfully extracted facts | question_id=8 | num_facts=5
2025-11-22 17:43:23 | INFO | factuality_eval | Fact extraction succeeded | question_index=8 | num_facts=5
2025-11-22 17:43:23 | INFO | factuality_eval | Successfully extracted facts | question_id=5 | num_facts=6
2025-11-22 17:43:23 | INFO | factuality_eval | Fact extraction succeeded | question_index=5 | num_facts=6
2025-11-22 17:43:28 | INFO | factuality_eval | Successfully extracted facts | question_id=1 | num_facts=5
2025-11-22 17:43:28 | INFO | factuality_eval | Fact extraction succeeded | question_index=1 | num_facts=5
2025-11-22 17:43:28 | INFO | factuality_eval | Successfully extracted facts | question_id=7 | num_facts=9
2025-11-22 17:43:28 | INFO | factuality_eval | Fact extraction succeeded | question_index=7 | num_facts=9
2025-11-22 17:43:30 | INFO | factuality_eval | Successfully extracted facts | question_id=3 | num_facts=8
2025-11-22 17:43:30 | INFO | factuality_eval | Fact extraction succeeded | question_index=3 | num_facts=8
2025-11-22 17:43:31 | INFO | factuality_eval | Successfully extracted facts | question_id=6 | num_facts=6
2025-11-22 17:43:31 | INFO | factuality_eval | Fact extraction succeeded | question_index=6 | num_facts=6
2025-11-22 17:43:36 | INFO | factuality_eval | Successfully extracted facts | question_id=2 | num_facts=7
2025-11-22 17:43:36 | INFO | factuality_eval | Fact extraction succeeded | question_index=2 | num_facts=7
2025-11-22 17:43:39 | INFO | factuality_eval | Successfully extracted facts | question_id=0 | num_facts=4
2025-11-22 17:43:39 | INFO | factuality_eval | Fact extraction succeeded | question_index=0 | num_facts=4
2025-11-22 17:43:45 | INFO | factuality_eval | Successfully extracted facts | question_id=9 | num_facts=15
2025-11-22 17:43:45 | INFO | factuality_eval | Fact extraction succeeded | question_index=9 | num_facts=15
2025-11-22 17:43:46 | INFO | factuality_eval | Successfully extracted facts | question_id=4 | num_facts=10
2025-11-22 17:43:46 | INFO | factuality_eval | Fact extraction succeeded | question_index=4 | num_facts=10
2025-11-22 17:43:46 | INFO | factuality_eval | Completed fact extraction batch | batch_index=1
2025-11-22 17:43:46 | INFO | factuality_eval | Starting fact extraction batch | batch_index=2 | batch_size=10
2025-11-22 17:43:46 | DEBUG | factuality_eval | Extracting facts from answer | question_id=10 | answer_length=3098
2025-11-22 17:43:46 | DEBUG | factuality_eval | Extracting facts from answer | question_id=11 | answer_length=725
2025-11-22 17:43:46 | DEBUG | factuality_eval | Extracting facts from answer | question_id=12 | answer_length=656
2025-11-22 17:43:46 | DEBUG | factuality_eval | Extracting facts from answer | question_id=13 | answer_length=637
2025-11-22 17:43:46 | DEBUG | factuality_eval | Extracting facts from answer | question_id=14 | answer_length=648
2025-11-22 17:43:46 | DEBUG | factuality_eval | Extracting facts from answer | question_id=15 | answer_length=481
2025-11-22 17:43:46 | DEBUG | factuality_eval | Extracting facts from answer | question_id=16 | answer_length=481
2025-11-22 17:43:46 | DEBUG | factuality_eval | Extracting facts from answer | question_id=17 | answer_length=500
2025-11-22 17:43:46 | DEBUG | factuality_eval | Extracting facts from answer | question_id=18 | answer_length=656
2025-11-22 17:43:46 | DEBUG | factuality_eval | Extracting facts from answer | question_id=19 | answer_length=656
2025-11-22 17:43:56 | INFO | factuality_eval | Successfully extracted facts | question_id=17 | num_facts=7
2025-11-22 17:43:56 | INFO | factuality_eval | Fact extraction succeeded | question_index=17 | num_facts=7
2025-11-22 17:43:57 | INFO | factuality_eval | Successfully extracted facts | question_id=18 | num_facts=10
2025-11-22 17:43:57 | INFO | factuality_eval | Fact extraction succeeded | question_index=18 | num_facts=10
2025-11-22 17:43:58 | INFO | factuality_eval | Successfully extracted facts | question_id=11 | num_facts=10
2025-11-22 17:43:58 | INFO | factuality_eval | Fact extraction succeeded | question_index=11 | num_facts=10
2025-11-22 17:44:00 | INFO | factuality_eval | Successfully extracted facts | question_id=12 | num_facts=8
2025-11-22 17:44:00 | INFO | factuality_eval | Fact extraction succeeded | question_index=12 | num_facts=8
